3 3 111010010	ACT CAT
8 8 1000000010000000100001111110010110100111101110101010111000101000	ALT ANT BAN BANAL BAT BLATANT LAB LAT NAB TAB TAN
10 10 0000111000010010100001111011110101000001011101011100010101000100011110010001010011111110000100000000	DOOR DOUR DUO ODOR OUR OUT OUTDO OUTDOOR ROD ROOT ROT ROUT RUT TOUR TROD
10 9 001011111100101000100011100111111010001010000000001110000001010010010101111001010000111101	ELM GEL GEM GIN GLEN LEG LIE LIEN LIME LINE MEG MEN MILE MINE MINGLE
12 12 000000001110000000101010000010111010000011101000011110000000010100000001111101000001010111101001000101001001000001111001000000001001000000011111	COIL COIN CON ICON ION IONIC LION LOIN NIL OIL SCION SILICON SILO SIN SOIL SON SONIC
7 5 10111011000001111011100100100111111	DOE DOG EGG EGO GOD JOG JOGGED ODE
9 9 000111100010000000111111000010101000011101000010111100010000101010000101000000111	DICE DISC EXCISE EXCISED EXEC EXES ICE ICED SEX SIX
9 9 000100000000101000000111110111101000101001111101000010111110010101000010001000000	AFLOAT ALOFT ALTO FATAL FLAT FLOAT FOAL LOAF LOFT
13 11 00000010000000000001000001000000111110100011110100011111000010001100100001000111110001111110100010010000111101110000000011101000000001010100000	ARE DARE DEAR DEER EAR ERA ERR ERRED RAD RARE READ READER REAR REARED RED REED REREAD
7 6 111011100001010111111010010001001000100000	BUY CHUB CHUBBY CUB HUB HUBBY
9 8 101011111111000000101110000101011110000010100011111100001000000111110000	ARC CAR CAROL COAL COLA CORAL CUR OAR OCULAR ORAL ORCA
8 7 11100100100001111011110111101001101110011000000000111100	DOT DOTE HOE HOOD HOOT HOOTED HOT OOH THE TOE TOO
12 11 000100000000000100000000000100000000000100111100111110010100000010010111011111110101010010000001010100010111010111110100111100011100	NET NIT NUT QUIET QUINTET QUIT QUITE TEN TENT TIE TIN TINE TINT TUNE UNIT UNITE UNTIE
7 6 011111000100101010111101010110111011010001	EWE TEE TREE TWEET WEE WERE WET WETTER
11 9 001001011111111110100110100111101111000000011000000111110000001000000001111100000000100011111100000	DEVOID DID DIED DIODE DIVE DIVED DOVE ODD VIDEO VIE VIED VOID VOIDED
8 8 0000000100000101000011110000010000100100111111001010000011100000	GIRL GRIM GRIMLY GRIMY GYM MIL RIM
16 12 000000010000000000000111100000000000010100100000000101011111000000111100001000000001010101111100111100010100000010000011111100001000010101010000111001110101000000111101001111110010000100010000	EEL ELSE LEER LEPER PEEL PEER PER REEL REP REPEL RESELL SEE SEEP SEER SELL SELLER SLEEP SPELL SPELLER SPREE
7 7 0000111000010011101110000010111111010100001110000	ACT ANT CAN CAT TAN VAC VACANT VAN VAT
8 8 1111111010000010100011101110100000101000111111010000010111110111	CHUG CHUGGED CUE CUED DUE DUG DUH EGG HUE HUG HUGE HUGGED
7 6 111100010010001011101101010110111011010111	APE DEEP HAD HEAD HEAP HEAPED HEED PAD PEA
16 14 00000000010000000000000111100000000000010100000000000111110000000000010101000000000001110000000000000010011111110000111001000000000010011110000000111001010000000001010101000000111101111000000000100100000000000011110000000000	ANY ARK FAR FLAK FLAKY FLAN FLANK FLAY FLY FRANK FRANKLY FRAY FRY LANKY LARK NARY NAY RAN RANK RAY
7 7 1001110101001010101110010101101011110111001110000	EMU GEM GNU GUM GUN GUNMEN MEG MEN MENU MUG NUN
7 7 0101001111100101010010111101000010100111110000100	KEEL KEEN KERNEL KNEE KNEEL LEEK REEK
8 7 01111110101001001110010010111100101010010000100100001111	CITE ERECT ICE IRE RECITE RICE RITE TIER TIRE
13 12 000000011110000000101010000000011101111000001000101000011100000100000101011110001110101000000010010100001111011111000101000101000011100010000000010001111100	BED BEE BELOVED BLED BLEED BOD BODE BOLD DELVE DOE DOLE EVE LOB LOBE LODE LOVE LOVED ODE OLD VOLE
7 6 011111100101001110101010000111110010100001	PREY PRY PYRE SPRY SPRYER SPY YEP
10 8 00000000010101111111111100000101010011110111110100000001010000011111000000010000	CLOG COIL COWGIRL COWL CROW GLOW GROW GROWL LOGIC ROIL
9 9 000111000000101000111101111101000100111011100100010010100111111000000010001111000	AIR ART CART CIGAR GAIT GIT GRIT RAG RAT RIG TAG TAR TIC TRAGIC
13 13 0111110000000000000010000000000101111000011110101000101001111100011111100011111010000000010100010000111010001000010101000100111000100111010000000000111000000000010000000	DOER DOT DOTE ORE OTTER RED ROD RODE ROT ROTE ROTTED TOE TORE TORT TORTE TOT TOTE TROD TROT TROTTED
7 5 10001111000001111011100101001111110	ERR HER HEY RYE SHE SHERRY SHY YES
8 8 1000111010001010101111111010000000101010111011110100101001111010	MEMO MET MOM MOMENT MOTE NOT NOTE OMEN ONE TOME TON TONE
7 6 010111111110100101111010010001001000100111	LONE LONELY LYE NOEL ONLY YELL YEN YON
14 10 00010001000000000111010000001111010101010001010101010100111001010111111000010001010011110011110100000100101001000001111010000000010011110000	ACE ACED ACHE ACHED CAD CAFE CHAD CHAFE CHAFED CHEF DEAF DECAF EACH FACE FACED FAD FADE FED
11 10 00000000100000011111100010101010000111011110111000000000100000000001110111100000101001000001110111100010100100	AND BAD BADE BAN BAND BANE BANNED BEAD BEAN BEND DAB DEAN DEN END NAB NAN
10 9 000011110110001001011011111101101010000111101111010000001000000011100000001000000111100000	DAY DRY HARD HARDLY HARDY HAY HYDRA LAD LADY LARD LAY RAD YARD
7 7 0000001000000101111111000100101111110100001110000	HOUR HUM HUMOR HUMOUR OHM OUR RUM
12 10 000000000001001111101111000000001001001000001001111110001111101001000101101111011111100001010100100001111000100000010000	DEEP PEEP PEST PETS SEED SEEP SPED SPEED STEED STEEP STEP STEPPE STEPPED TEES
9 9 000011110000010100011111110001000000101110100100100111101110100101011100001110000	ADD ADO CAP COD CODA COP DAD DOC DOCK OAK ODD PACK PAD PADDOCK POD
12 10 000010000000100011110000111110010000100010011110101000010010111110000010001000001111001000001001001000001111001000001001	AIRS ARISE EARS EASE EASIER ERAS ERASE IRES RAISE RISE SEAR SEER SIRE
8 7 01000111010111010100011101001010000010101111111000001000	FIN FINICKY ICKY ICY INK INKY KIN NICK YIN
9 9 100111110100001000101111000101001000101110101000101111011110101010000100111111100	FILL FILLY FLU FLY FULL FULLY FUN ILL LILY NIL NULL NULLIFY UNIFY
9 9 000000010000001010010101111010101010010111100010100100000100100000111100111100000	FINS FISH FURNISH RUIN RUNS RUSH SHIN SHUN URNS
9 7 100101111111101010100101010100111110100001000100000000001111110	ABOARD ABROAD BARD BOAR BOARD BROAD DRAB ROAD
8 6 010000101111111001000010010111111111001000010000	CHEER HERE SCREE SCREECH SEE SHEER
12 12 000000000100000100000100011111010100000100111100010100010111111100010101010000000111011110000010001000001110011110101000001010111000000111100000	EGG GEL GLEN GLUE GNU GUN LEG LENS LUG LUGE LUNG LUNGE SLUG SLUNG SNUG SNUGGLE SUE SUN SUNG USE
8 7 10000000100000001000111110101001101111011010100111110000	FIRS FOUR FURIOUS FURS OURS SOUR SURF
8 8 1000010010100100101011111010010010111100001010000111110000001000	GILT GLINT LINT LYING TINGLY TINY TYING
9 9 000001000001111000000101111000101001111111001101000001111100000101000000100000000	ARTY EATER EATERY RATE TEAR TEARY TRAY TREE YEAR
14 11 0000000000000100000000000001000000000001010000000000010100010000011111111100000001011001000001010011110101111100101011110100000010010101000000111101111000	DIPS PEWS PIES SIDE SPEW SPIED SWIPE SWIPED WEDS WIDE WIPE WIPED WISE WISP WISPED
11 8 0000001110000101010100001110101110010111000111111000111101000101001010111110011100010100	DIRT DIRTY DRY HID HILT HIT IDLY LID LIT RID THIRD THIRDLY THY TIDY TIL TRY
14 11 0000010100000000000111100000000001010010000111110111100001000001001111010100010000011111001000011101010011100100000111101011110000000011100000000000001000	AGE AGED ANEW AWE AWED DAWN DEW GNAWED NAG NAW NEW WAD WADE WAG WAGE WAGED WAND WANED WEAN WED
8 8 1111000000000000111000011011100110101111100010101001111010000010	ELF FELL FLUE FUEL FULLER FUR LURE REF RUE RULE
12 9 000011110000001010010000111110011100001010000100001010111110001000100001001001111001000001001111000111111001	CON CONDO CONDOR COO CORD CORDON CORN CROON DON DONOR DOOR NOD NOR ODOR ROD
8 6 100001001111010010011110100100100011111100010000	BIKE BIO BOOK BOOKIE EBOOK KOI OBOE
10 9 000001000000111101000010011101111000010110001111011110100111101010010000111100000010000000	CLOT COLT CORE COT LECTOR LET LORE LOT ORE ROLE ROT ROTE TOE TORE
8 8 0010000011111110101000101111001010001111000000010000000100000001	BLOB BOBS BULB BULBOUS LOBS SLOB SOUL
12 11 001111010000000101011101000111110101010100000111111100000101010000000001011111000111000100000101000111110100000100000100000000000100	AIL ANVIL AVAIL AVIAN ILL LAIN LAVA NAIL NAVAL NIL VAIN VAN VANILLA VIA VIAL VILLA
9 8 111101111101000000101110000101010010100111010100101110000111000000101000	BERM BOB BOMB BOMBER BORE BRO MOB MORE ORB REM ROB ROBE
9 9 100011101100010101101110101100100111100111000000001000111111000000010000001111100	ANT ANY AUNT AUNTY JAUNT JAUNTY JAY JUT NAY NUT TAN TAU TUNA
8 8 0111111001001000011110000010000110111001100010011000111110000000	BABE BAD BADE BEAD BED DAB EBB JAB JABBED JADE
13 11 01010000000001111000000000010100000000001001000000001110111100010001110100111100100011110100000000101010000000111111000000001000000111111100000	AFT ALL ALLAY ALLY ALT FALL FAT FATAL FATALLY FLAT FLATLY FLAY LAT LAY TALL TALLY
7 7 0001000001111001010101111111010001001000000101111	COOK COOKTOP COOP COOPT COOT TOOK
10 9 100000000010000100001000111111100001000110111101010010101111011110010000101001000000100000	LIEN LIKE LIKEN LINE LINER LINK LINKER REIN RILE RINK
8 7 00000100011111101010010010101111111100011000000100111101	EMPLOY LOPE MOLE PLOY POEM POLE POLY YELP
11 11 0000100000000001011110000010000000001111000001010000001111100001110101001110101111010101001011101010011100000100101000000	BLOG BOG BOLO BONG BONGO BOO BOON GLOB GOO GOON LOB LOG LOGO LONG LOON OBLONG
7 7 0001111000100111110011010101101011110111010010000	OAR RAY ROAR ROSARY ROSY SAY SOAR SORRY SOY
10 10 1011111000100000000011111001000100000100011110010000100111110111010100010111110001110100000001000000	BET BRUTE BUT BUTT BUTTE BUTTER RUB RUE RUT TRUE TUB TUBE TUBER UTTER
7 7 0101111010000001111100000100011111101010001111000	ALE EQUAL SALE SEA SEAL SQUEAL SUE USE
12 10 000000000100001111011100000000010111000111010001000101110111010101000100111101111111010000101000000001111000000000100000	GLUT GLUTTON GNU GOT GOUT GUN GUT LOUT LUG LUNG NOT OUT TON TONG TOT TOUT TUG UNTO
8 7 11111110000100100111101001000111111101001000010011110100	ENEMIES MEN MINE SEE SEEM SEEN SEMI SIM SIN SINE
11 9 000000010001111110111000100111010001001001110011110010000100001110000000010100111110101000000001111	DODGE DODGER DOE DOER DOG EGO GOD GORE ODD ODDER ODE OGRE RED REDO RODE
8 6 001111010000100110101001111111011010100111110000	CHIDE CHIDED DICE DICED DIED HIDE ICED
14 12 000000001000000000001111100011111110101000000000101010010001111110111100100010000001001000000011110010100010001001111000111010000011101011100000001110100000000010000000	EURO INN INNER INURE IRON NEON NEURON NINE NONE NOR NOUN NUN ORE OUR REUNION RUIN RUN RUNE UNION URN
6 5 111111100000111010101010001110	LAP LAW PAL PAW WALK WALKUP
12 11 000100000000011100000000010111100000111001000000001011100001001010000001011110000101010001111111011110100100010100111100000111100000	CHI CHIN CHINOOK COIN CON COO COOK HOCK HONK HOOK ICON INCH INK ION KIN KOI NICK NOOK OOH
7 7 1111000000001001011111111010010111101000100000010	DOLL DOLLOP LOOP POD POLL POLO POOL
11 8 0000000000100101111111001010010010111100111110101111000111100000001000011111010000000000	BILE BLUE BLUER BLUR BRIE BURLIER BURR LUBE LURE RULE RULER
7 6 000000111101110000101010111001000100111111	BAH BIO BOA BOP HIP HOP PHI PHOBIA
10 8 00011111100101010000010101000001010111101111000101000011111100000001010000001111	ADDLE DALE DAWDLE DEAD DEAL LEAD LEWD WADDLE WADED WELD
7 7 0001111000010101111010100010011101000010101111110	DON FLY FOLD FOND FONDLY NOD OLD ONLY YON
13 13 0000100000000000010000000000111101000000010100101000001000011110011110001010101010111101111101000010001011110000111100001011110000000101001000000011110100000000010000000	DELL DUEL DUES DUET DULL DULLEST DUST LEST LETS LUST LUSTED LUTE SELL SLED STUD SUED TELL USED
8 7 00000010011111110101001001011110111101000000010000011111	BEER BEES BERRIES BRIE ERRS RIBS RISER SEER
10 10 0000011111000100000000111111100001000100111100010010000001001111011111100101000000010100000011110000	CONE CONJURE CORE CORN CRONE CURE EURO ONCE OUNCE RECON RUNE
9 8 010000000111100000010100000010100000111101111100101001101111001100001001	DOOR DOTE ODOR RODEO ROOT ROOTED ROTE TORE TROD
14 13 10011100011110100101011100101111010101001010100111101111111100000101000010000011110000000000010100000000000100000000000011111000000000000100000000000001000000000000010000000001111111	ALE ALL ALONE LANE LEAN LOAN LONE NAVE NAVEL NOEL NOVEL NOVELLA ONE OVA OVEN VAN VANE VEAL VENAL VOLE
8 8 0101000001010000010111110100100000001000111111000101000001110000	BLOCK BLOCKY BOY COB COY LOB LOCK YOLK
10 10 1000010000101111111010100100001011110100101001110010101001000010100111010011101001111011100100101000	DEVOTE DEVOTED DOE DOT DOTED DOVE EVE ODD ODE TEE VET VETO VETOED VOTE VOTED
8 6 100100011011110110010111101111001010000011101111	ARE EAR ERA RUE RUSE SEA SEAR SQUARE SURE USER
13 12 100000000000010100111111001111000000000101000111111111110010000000100001010000010001111000011110010100000101011110000000101000000000111100000000000010000000	DEED DEER DUDE DUNE ENDED ENDURE ENDURED NEED NERD NUDE REDDEN REED REND RUDE UNDER
9 7 000111000000101111111111010001010010011110111000000100011110100	GEL GLUE GUY HUE HUG HUGE HUGELY LEG LUG LUGE LYE UGLY
10 9 000011110000001010000011101000001010000111100010011000111101111010100100111011110010001001	DEN DIN DINE DUE DUN END SEND SIDE SIN SINE SNIDE SUE SUN UNDIES USE
9 8 001010000001110111111010101100011111101000100111000000101000000100000000	AYE DAY DYE HAD HAY HEAD HEADY HEY HEYDAY YEA YEAH
14 10 00111111100000000001000000000000010000100100000100001001111111001011110010001111100101111010101000001010111100000001111000000000001000000000	IRES IRKS MIME MIRE MISER RIMS RISE RISK SIMMER SIRE SKIER SKIM SKIMMER SMIRK
7 7 0001110010101001110100100000111111101010100101111	AND BAD BAN BANANA BAND BANDANA DAB NAB NAN
11 8 1111100000000000010000010111101110111001010101010111111010101001000001011110000000100000	REST ROSE ROT SET SORE SORT STOKE STORE STORK STROKE TOE TREK
7 6 100000010001111110101101011110111001010000	LENT LET NET NUN NUT TEN TUNE TUNNEL
15 13 000000000010010000001001111111000001111010010000001001010010001111001111010000010000000000001010111110000001110000000000111000100000000010000100000000011110100000000001011100000000111110000000000	ACT AFAR ALT ALTAR ARC ART CALF CARAT CART CRAFT FACT FAR FAT FATAL FLAT FRACTAL FRAT LAT RAFT TALC
7 7 0101000111111001010000111101010010100011110000101	CEDE DEEP DICE EPIC ICED PIECE PIECED
9 8 001000001101110001111010001100010111101110100101000100101111100001000000	DOLE DOLED ELF FED FLED FOE FOLD FOLDED LED LODE OLD
8 7 10111100100000001011110110101001111011111000010100001111	AFT ALL ALLY FALL FLATLY FLAY FLY LAY TALL TALLY
14 11 0010111000000000111010000000001010111000001110000100001010000001111110111000000010100010100000111100111101111010001010010000000000111100000000000001000000	OPT ORE PEP PER PET POET POP POPE PORE PORT POT PREP PROP REP REPO ROPE ROTE TOP TOPPER TROPE
8 6 011101010101010101011101111101010001000000010000	CUE CUED DECK DUCK DUCKED DUD DUKE
10 10 0011111110001001000011100111000101000100011110011100010000011111001111100000001010011110101000000000	DIG DISGUST DUG DUST GIST GIT GUST GUT ITS SIS SIT STUD SUDS SUIT TIS TUG
8 8 0000101000001010100011111011101010010010100111100000100011111000	DISH FISH FISHED HID HIDE HIS SHE SHED SHIED
10 8 11111000000000001111010000101011110010100101111010010101001000111110100000010000	BILE BILGE BLOG BOIL GLIB GLOB GLOBE LOBE OBLIGE OGLE
8 7 00001111010000010100011101010010010111100001010011111100	LOST LOT MOLT MOST MOSTLY SLOT SLY SOY TOY
12 11 001011100000001010100000001110100000111000111101100000000101111000001111001000000101001110000000000011100100000010100100000011111110	DIP DOG DRIP DROP GOD GORY GRID GRIP PIG POD PRO PROD PRODIGY PRY RID RIG RIP ROD YOGI
9 8 000000100001111111001010100111110111001000001001000101001011101000000111	DENY DRESS DRESSY DRY DRYNESS NERDY RED RYE YEN YES
13 13 0111111100000000100100000000010010010001111001001000010000111110011110000010100101000011111000100000001011110000111100010111110000011110001000000101000100000000100000000	ACNE CANE CAVE CLAN CLEAN ENCLAVE EVEN LACE LANCE LANE LEAN LEAVE NAVE NAVEL VALE VANE VEAL VENAL
7 6 000111000010101111110010100001000000101111	QUIT RUST RUT SIR SQUIRT STIR
11 11 1000111000011101010000101111100001010100000000101110000000001000000011110111100001001000001111010000010000100000111111000	DOE DOPE DOSE ODE OPS PIE POISE POISED POSE POSED SIDE SIP SOD SOP SPED SPIED
6 6 111101000001001111101001111001100111	COT CUT CUTOUT OUT TOT TOUT TUTU
12 9 011111100000000010000010100010011110111110001010100001001111111101111001000101000001001111000001000100000001	AIDE AVID AWED DIVA DIVE IDEA VIED VIEW WADE WAIVE WAIVED WAVE WAVED WIDE
7 6 010100001110000101111000010111111110000001	EEK EEL EKE ELK KEEL LEEK UKULELE
10 8 00100000001111000001101000000111110000011001110111000101010100000111010000000100	INK ION KIMONO KIN KOI MINK MONK MONO MOO MOON NOOK
7 7 0011110001010011101000100111111101000010101111110	DUE DUH HUE HUH HUSH HUSHED SHE SHED SUED USED
14 13 00000000100100111110111101000000001010011110001010111101100010101000011001111000111110001000001000111110001110001000010101000000011111110000000001010000000000011110000000000100000000	CRIES EVE EVER REVISE RICE RISE SCREE SEE SEER SERVE SERVICE SEVER SIEVE SIR SIRE VEER VERSE VICE VIE VISE
9 7 000001001000001111111101001000000101101110111101011101111110000	ANNOY ANY ANYONE AYE NAN NAY NEON NONE ONE YEA YEN YON
9 9 111111000001000000101111000101010100100010100101110100000101111000111010000001110	COKE COP COPE KEPT OPT PECK PET POCKET POET POKE POT TOE TOP
7 7 0000010000111110010101011110111001010100100010010	COO COOK COOKOUT COOT TOO TOOK TUCK
12 12 000010000000000010001010001111001010001010001111111010101010101011111000111010100010010001111010011100010010001010010010001011110010001110000000	FERRY FIERY FIR FIRE FIT FRET FRY FRYER IRE REF RETRY RIFE RIFT RITE TERRIFY TIE TIER TIRE TRY YETI
8 7 00100100001001001110010010011111111101000101010001111000	COY ECHO HEY HOCK HOCKEY HOE HOKEY KEY YOKE
9 9 100100100100111100111100101100001111100101001000101111000101010000101010000001110	DEMO DOER DOME DORM DORMER ERR MODE MORE ORDER REDO REM RODE
8 7 01111110001010101110111110000000111011111010000000100000	INKJET JET KIT KITE KNIT NET NIT TEN TIN TINE
13 12 000100000010010111111001001001000100100111101111010010000101001001001110000000000010000100000011111010010000010001111000111110010100000001001110000000111100	DEN DENIM DICE DIM DIN DINE END ICE ICED MEDIC MEN MEND MICE MID MINCE MINCED MIND MINE MINED NICE
9 8 001001111001001010001111010111000010100011110100100100101111110000100000	CUR CURE CURSE RUE RUSE SUCK SUCKER SUE SURE USE USER
10 9 111110101000000011110000101010000011111001001001000100111100010010010001111000000000100000	IRES IRIS IVORIES ORES OVER ROSE ROVE SERVO SORE VISOR
8 6 011110000100100011101001100011111000100110001111	KNIVES SIN SINE SINK SKI SKIN VEIN VINE
11 10 00100111100111101001001010010111110111100101100010010010000101111100001001000000011111000000100100000001000000	FLOOR FLOUR FOOL FORM FORUM FOUL FOUR FROM LOOM MOOR ROOF ROOM ROOMFUL
6 5 111100101000111001010001111111	FOE OFF OFFSET OFT SET SOFT TOE
11 9 001000111100111111010000100010111111110100010001000111101010000010010111011100100010100001000111000	ARC ARCH BAH BAN BAR BARN BRA BRAN BRANCH CAN CAR CARB CHAR CRAB NAB RAN RANCH
7 5 00011110100000111111001010100101110	COT RIOT ROT TIC TRIO VICTOR
13 13 0001111100000000010100000000001111100000000101011110001110101001000100010100100010000001111001000000100011100011110001000001001000111011110000000101010000000011100000000	AIR AIRY ANGRY ANY GAIN GIN GRAIN GRAINY GRIN NAG NARY RAG RAIN RAINY RANG RANGY RAY RIG RING YARN
9 7 001011111001010010111110111101000100111001110101001000000001000	CRISP CRISPY CRY PIC PRY RIP SIP SIR SPICY SPRY SPY
9 7 001111000000000010010100010111101111010101010011111110000001000	COOP CORN CROON CROP POOP POOR POPCORN PROP
7 7 1000000100010010111100010100011100001010001111111	BOD BOO BOW BOX BOXWOOD DOW WOO WOOD
10 9 100000100010000111101000001010111100111110010010011001010111100111010000000111001111000000	FOG FOGHORN FOR FORGO FRO FROG GOO GOOF GOON HOG HOOF HORN NOR OOH
8 7 11111100101001001110111100100001111101111000000010111100	DEN DUE END SEND SUE SUED SUN UNDUE UNUSED USE USED
11 11 0001000000000010000000001111000000001011111111110100101001001001010111011110101000001001011110010010000111100100001000000	CHI CITE ETCH ETHIC HIKE HIT ITCH KITE TECH THE THICK THICKET TICK TICKET TIE
10 9 001111000000010111110111010100010001010011100001001000000100111011110000101010000011101000	ABBOT ACT BAT BOA BOAT BOB BOBCAT BOT CAB CAT COAT COB OAT TAB TACO
14 11 0000000001000000000000011100000111011101000001010100011100010111100101010100000000011111001000111101010010100100000001111001000000001011110000111110100100	DUN DUNE DUPE NERD NUDE PEN PER PRUDE PRUNE PRUNED PUN PURE RED REND REP RUDE RUN RUNE UNDER URN
9 7 000000010000101111001111010010101010111111000010000000010000000	BLED BLUE BULK BULKED DUEL DUKE LUBE
9 9 000111100010000001111100001010000001011100111001000010001110111000100100111111100	AAH AHA AND BAD BAG BAND BANG DAB HAD HAG HAND HANDBAG HANG
7 7 1110000100000010100011110101101011111111011000100	DILL ICY IDLY IDYLL IDYLLIC ILL LID LILY
11 9 111110000000000000000000010000101000100011111111100010101010111101011111010010100010100101001111000	EGRET ENTER GENE GENRE GENT GREEN GREET REGENT RENT TEEN TERN TREE
8 8 0000111100010010001111100001010010011100100100001111000010000000	CLUE CUE ICE ISLE LICE LIE SLICE SLUICE
13 10 1111101000000000000100010000001110001000000101111111001110000010000101001111001111000001000010100111100001110010010000001111000000	BILE BLEMISH ELM HELM HIM HIS LIMB LIME MESH MIL MILE SEMI SHE SIM SLIM SLIME SMILE
7 6 000000100000011111101101011110101011111001	AVENUE EVE EVEN NAVE VAN VANE VENUE
14 11 0001111110111100000000001001000001011110010000111100111100010101000100001111010011100001000000001000010000011110111111000101000000000011110000000000010000	ADHERE ARE DARE DEAR DEER EAR ERA HARD HARE HEAD HEADER HEAR HEARD HEED HERD HERE RAD READ REED
7 7 0000001001011100111010010101001111100010001111110	ERR FEE FREE FREER REEF REEFER REF REFER
12 9 000111101000000000001000000111111010000010101111100011110010111110100010100100000010111100000010000100000010	ESPOUSE OPUS POSE POSSE PUSS SEEP SEES SOPS SOUP SPOUSE SUES USES
9 7 000101110001111010010101110111110100010000111010000010111111010	DOE DOSE DOSED DOT DOTE DOTED ODD ODDEST ODE SET SOD TOE
14 10 00001010000000000010100010100011101000101000101110011111111000000010101000000011111011101111101000001010001010001111100010000000001000000000	ALL ALLOY ALLY ALT ALTO ATOLL LAT LAY LOT LOYAL TALL TALLY TOLL TOT TOTAL TOTALLY TOY
8 7 00100000011110000010100011101010010011110100101001011111	ALMS ALSO LAM LOAM MALL SLALOM SLAM SMALL
10 9 001111110000010001001111011110001001010011100100011001111101100100100111110010010001001000	ALE DALE DEAL HALE HALVE HALVED HAVE HEAL HELD LAD LEAD LED VALE VEAL
7 6 001111010000101111111100101010010001111000	INCLINE LIEN LINE LINEN NICE NINE
11 11 0000001010000011110100000100101000001111010011110100001100001111011111010010110010001111000100001001111111000000010000000	DIRT DISTORT DITTO DOTS RIDS RIOT RODS ROTS SORT STIR TORT TOTS TRIO TROD TROT
9 9 111111000000000000111111000101001010111001111100000010000011110000010000000111110	DEED DEFEND DEN END ENDED FED FEED FEN FEND FENDED NEED
11 11 0000111100000001010000000010100100111101111100010000010000100011110111100100001010101000010011110000100010000011111100000	DINE DINER DIRE DIVE DIVER DRIVE DRIVEN REIN RIDE RIND VEIN VEND VIED VINE
7 7 0011101000000101001110100010111011100101001111110	EMU HEM HER HUE HUM HUMMER MUM REM RUE RUM
14 13 00010111110000000100100100100101111001111111110010010010010000011111100111100000101000001000101000001110001010000001000010100001111010101000000010101010000001111000000000001000000000	DOER DOLE DOLED DOODLE DOOR DROOL DROOLED LODE LORD ODDER ODOR OLD OLDER ORE RED REDO ROD RODE RODEO ROLE
8 8 0010010000100100001011100010101000001110111110000101000001111111	AIR AVIAN INN NAN NIRVANA RAIN RAN VAIN VAN VIA
9 7 100100001111101001100101001111111101101001000001111000001001000	ACCEDE ACED ACNE CADENCE CANE CEDE DANCE DEAN
7 7 0111100001000011101111000000111111000101000011100	GEL GET GOT LEG LET LOG LOT OGLE TOGGLE
12 11 111111000000001000000000111110100001001010100001000111101111000010100101000111100100000100011100001111010100000101110000000001000000	ENTER ETHER HEN HERE NETHER RENT TEE TEEN TEN TERN THE THEE THEN THERE THREE TREE
9 9 000111000000101000111101111101000100101111100111001000100111000100000000001111000	FIERY FIR FIRE FIVE FRY IRE IVY REF RIFE RYE VERIFY VERY VIE
8 6 101111001000000011111110101001001111010000101111	BUMS BUSES MESS MUSE SUBS SUBSUME SUMS
9 7 101000000111011110101000000101010111001110101001010101000011111	DEEP EDGE EEL GEE GLEE LEDGE PEEL PEG PLED PLEDGE
11 10 00000001000000001011110010111100011100101000101111000101110000101001011101010011101011110001011101000000001010	BET BOO BOOT BORE BOT BRO OBOE ORB REBOOT ROB ROBE ROBOT ROOT ROT ROTE TOE TOO TORE
8 6 111111001010000011100001101111010001011100011100	BED BRED BUD DRUB DUB DUE EBB RUB RUBBED RUDE
10 10 0000010000000101000000111100000001010101001111011100100001011111011100010111010001110101000000000100	EWE ITS SEE SEW SIT SITE STEW SWEET SWEETIE TIS WEE WEST WET WISE WIT
11 11 0000010000001010111000111111011100101000101001111010111000001111000000001010000011110100000100000000001000000000010000000	DUEL DUO ELF FED FEUD FLED FLU FLUE FOE FOLD FOUL FOULED FUEL LED LOUD
11 10 00111100010001010011111110111101010000001110111010010000010111000011101010000100010100001111111000000001000000	ARC CAD CAP CAR CARD CARP CARPAL CLAD CLAP LAP LARD PAD PAL PAR PARA PLACARD RAD RAP
7 6 101000010101111010101101111100101001110000	CHI CHIC CHILE CLICHE ICE LICE LIE
7 7 0111100010010001001011111101001000100100010111111	GOTH GOUT OUGHT THOU THOUGH THUG TOUGH
7 7 0000111000001011101110000100000111000010101111110	DIG DOE DOG DOGGIE EGG EGO GIG GOD ODE
12 12 000001000000000111111000000001000001000101000001011111000001000100000111111100000100100000001110111100111010101011101110001010101000001111000000	ANTE ANTI ATE AUNT AUNTIE EAT NEAT NET NIT NUT TAU TEA TIE TIN TINE TUNA TUNE UNIT UNITE UNTIE
7 7 0001001011111110010011001111111101000000101111010	LOST LOT ROLL SLOT SORT STROLL TOLL TROLL
10 9 000001001000111100100001010010010101111101110000100100011100111111010000010101000011110000	BEE BEER BEET BELT BERET BET EEL LEER REBEL REEL TEE TREBLE TREE
7 6 111011100001010111101010010011101000000100	DUE DUET DUG GET GUT GUTTED TUG
13 10 0011110000000001010000000010101110111101110001010010100001111001010001001011111000100100100100010011110000011111001000000100000100	ALE ASH ASHES HALE HAS HASSLE HEAL LASH LEASH LESS SALE SASH SEA SEAL SHALE SHE SLASH
9 7 111101000000001000001111110101000100101110111111010010100011110	DEN DIN DINE DON DONE END ION JOIN JOINED NOD NODE ONE
8 8 0000100000101111011110100010101010101111100010011000111110000001	ARDUOUS DOUR OARS OURS ROAD RODS SOAR SODA SOUR
